ds,yhat,yhat_lower,yhat_upper,RegionName
2016-04-30,121700.4714634326,120337.5933558416,122982.07298376432,Alabama
2016-05-31,121870.56878023852,120552.21961156493,123111.2640068386,Alabama
2016-06-30,122184.11113887078,120917.33436206316,123480.78602302975,Alabama
2016-07-31,122466.81685936077,121155.69272724289,123665.62940681813,Alabama
2016-08-31,122572.36682493532,121326.65629098707,123811.66533166108,Alabama
2016-09-30,122571.15784127895,121362.69599531761,123822.65112682848,Alabama
2016-10-31,122709.16840675219,121476.11063187494,123976.76253666154,Alabama
2016-11-30,123087.60330140953,121838.49948521389,124334.81494059287,Alabama
2016-12-31,123409.54797225112,122181.09258224115,124717.78539188798,Alabama
2017-01-31,123522.86419567348,122234.2278730833,124875.50866764448,Alabama
2017-02-28,123599.13163769929,122386.78219434213,124902.50340846756,Alabama
2017-03-31,123758.654922242,122429.69582542626,124973.69114361133,Alabama
2017-04-30,124007.36699766449,122745.65885896841,125242.5811482445,Alabama
2017-05-31,124153.65338330265,122865.85231783574,125374.4667888011,Alabama
2017-06-30,124387.15970421815,123170.65892442068,125698.19598360016,Alabama
2017-07-31,124627.4955935143,123429.36735513699,125948.93637113839,Alabama
2017-08-31,124784.27653485617,123582.33479889994,126093.75693190533,Alabama
2017-09-30,124917.89541209905,123661.65428370987,126081.40999027177,Alabama
2017-10-31,125103.71452490364,123816.79755250292,126357.12035223696,Alabama
2017-11-30,125344.38219050545,124098.38295223267,126617.16293137945,Alabama
2017-12-31,125570.17946523368,124300.25418813173,126813.1323488723,Alabama
2018-01-01,125962.93153647741,124686.98772410688,127275.77047204174,Alabama
2018-02-01,126049.88770794547,124841.44907884655,127288.71409662637,Alabama
2018-03-01,125829.49909919164,124488.78950189066,127201.87318613892,Alabama
2018-04-01,125767.93928617143,124480.15355237407,127078.00539841931,Alabama
2018-05-01,126131.18434512001,124675.76892266399,127490.48964975451,Alabama
2018-06-01,126345.59672037793,124923.4008518679,127770.98411723941,Alabama
2018-07-01,126820.13797681646,125339.95022205265,128403.0011511887,Alabama
2018-08-01,127195.65695824122,125724.93443648423,128749.701768975,Alabama
2018-09-01,127207.81123672621,125443.73340483491,128702.65323625672,Alabama
2018-10-01,126935.75313601564,125075.00659378045,128688.60567412384,Alabama
2018-11-01,126965.36879281633,125029.53646597691,128700.3227297764,Alabama
2018-12-01,127610.11824034905,125439.09930834852,129575.35390444037,Alabama
2019-01-01,128130.4467538339,125795.26570712471,130288.68224124606,Alabama
2019-02-01,128222.74183812903,125725.64911476172,130425.73479863787,Alabama
2019-03-01,128099.18620036462,125384.73728668535,130496.1790355577,Alabama
2019-04-01,128113.116015945,125086.36302667031,130983.08903842806,Alabama
2019-05-01,128440.88923270899,125222.20490790544,131303.46508267804,Alabama
2019-06-01,128633.71573899152,125237.56078483621,131683.2027152649,Alabama
2019-07-01,129027.64605074385,125459.55796081893,132272.0450472814,Alabama
2019-08-01,129355.43252683493,125216.46792364854,133260.1908595856,Alabama
2019-09-01,129412.7468925548,125068.49175697469,133556.59729702657,Alabama
2019-10-01,129276.24421746786,124469.06238332312,133339.097293682,Alabama
2019-11-01,129362.1654432191,124235.61544635822,133857.1754466586,Alabama
2019-12-01,129875.35531397584,124516.47419829051,134809.08971943604,Alabama
1996-04-30,102649.5280833878,100676.50346331537,104717.70295141856,Arizona
1996-05-31,102951.54696542695,100787.97738476547,105076.71245484748,Arizona
1996-06-30,103471.35672985797,101427.38877477685,105490.6313170638,Arizona
1996-07-31,104133.51666193531,102090.71157557868,106130.11216331171,Arizona
1996-08-31,104266.01039004413,102232.6833369259,106397.70469354479,Arizona
1996-09-30,104537.61560192353,102418.35545219312,106527.78561465527,Arizona
1996-10-31,104922.94734537859,102887.60270193075,107068.09953600766,Arizona
1996-11-30,105322.73790912649,103252.4588388044,107355.23082478977,Arizona
1996-12-31,105632.65102367425,103615.17414582532,107650.44471929934,Arizona
1997-01-31,106171.20235874027,104095.9981957244,108306.96585066845,Arizona
1997-02-28,106853.64085642002,104806.64705658531,108905.83903327803,Arizona
1997-03-31,107256.05611369442,105192.4576757476,109397.71973401414,Arizona
1997-04-30,107705.01823877492,105640.81321383425,109863.06452019044,Arizona
1997-05-31,108101.84391155162,105851.52278261312,110110.43119577998,Arizona
1997-06-30,108592.97416992385,106609.73189251902,110693.39485051339,Arizona
1997-07-31,109067.03668591514,107035.70805614024,111286.27998115406,Arizona
1997-08-31,109273.83324867333,107375.45792712054,111430.38095035238,Arizona
1997-09-30,109620.21503728739,107537.86330227996,111766.26901891344,Arizona
1997-10-31,110009.81983218614,107867.73510049794,112200.1214023097,Arizona
1997-11-30,110390.51604560038,108332.23069455464,112714.93567825576,Arizona
1997-12-31,110728.4262757319,108579.48605073063,112722.21484459825,Arizona
1998-01-31,111277.0949236682,109178.10397997875,113449.24403991408,Arizona
1998-02-28,111837.38235374438,109868.712535139,113827.2346305509,Arizona
1998-03-31,112316.2194987011,110316.33645281821,114411.1610456443,Arizona
1998-04-30,112790.65698970278,110754.39013721528,114918.88405789813,Arizona
1998-05-31,113284.80074595226,111264.91177585986,115408.87817432728,Arizona
1998-06-30,113747.88533071328,111765.99468487286,115747.04809880095,Arizona
1998-07-31,114040.03695523253,111992.96757847116,116193.92613359129,Arizona
1998-08-31,114329.81781379021,112408.03553434675,116379.59233728732,Arizona
1998-09-30,114755.59188726019,112674.97366760844,116708.20872070057,Arizona
1998-10-31,115144.8496288907,113158.53572272023,117092.3329195043,Arizona
1998-11-30,115502.89340109291,113498.7677701353,117538.75542447805,Arizona
1998-12-31,115865.28581691792,113932.24028885065,117970.54869179941,Arizona
1999-01-31,116419.22453135034,114289.92269540143,118453.39251242524,Arizona
